textgrid_path,wav_path,textgrid_first_phoneme_start,audio_voice_start,delta_seconds,status,message
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\northwind1\sub013_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\northwind1\sub013_northwind1_audio.wav,2.482628,2.656500,-0.173872,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\northwind2\sub013_northwind2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\northwind2\sub013_northwind2_audio.wav,2.663658,2.727063,-0.063404,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\picture2\sub013_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\picture2\sub013_picture2_audio.wav,3.200000,3.293687,-0.093687,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\rainbow\sub013_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\rainbow\sub013_rainbow_audio.wav,1.990000,2.029000,-0.039000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\shibboleth\sub013_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\shibboleth\sub013_shibboleth_audio.wav,2.350000,2.580375,-0.230375,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\topic1\sub013_topic1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\topic1\sub013_topic1_audio.wav,2.400000,2.966625,-0.566625,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\topic2\sub013_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\topic2\sub013_topic2_audio.wav,2.980000,3.814062,-0.834062,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\vcv1\sub013_vcv1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\vcv1\sub013_vcv1_audio.wav,2.140000,4.207500,-2.067500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\alignments\vcv3\sub013_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub013\audios\vcv3\sub013_vcv3_audio.wav,2.080000,4.345125,-2.265125,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\bvt\sub022_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\bvt\sub022_bvt_audio.wav,1.500000,1.511062,-0.011062,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\grandfather1\sub022_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\grandfather1\sub022_grandfather1_audio.wav,1.590000,1.648375,-0.058375,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\northwind1\sub022_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\northwind1\sub022_northwind1_audio.wav,1.730000,1.893687,-0.163687,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\picture2\sub022_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\picture2\sub022_picture2_audio.wav,3.120000,3.140250,-0.020250,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\rainbow\sub022_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\rainbow\sub022_rainbow_audio.wav,2.550000,2.562813,-0.012813,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\shibboleth\sub022_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\shibboleth\sub022_shibboleth_audio.wav,1.707574,1.823500,-0.115926,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\topic2\sub022_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\topic2\sub022_topic2_audio.wav,2.420000,2.503687,-0.083687,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\alignments\vcv3\sub022_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub022\audios\vcv3\sub022_vcv3_audio.wav,1.590000,3.201750,-1.611750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\alignments\bvt\sub023_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\audios\bvt\sub023_bvt_audio.wav,1.270181,1.538750,-0.268569,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\alignments\rainbow\sub023_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\audios\rainbow\sub023_rainbow_audio.wav,1.510000,1.846937,-0.336937,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\alignments\topic1\sub023_topic1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\audios\topic1\sub023_topic1_audio.wav,2.570000,2.884000,-0.314000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\alignments\vcv1\sub023_vcv1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub023\audios\vcv1\sub023_vcv1_audio.wav,1.370000,1.480750,-0.110750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\alignments\bvt\sub028_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\audios\bvt\sub028_bvt_audio.wav,1.670000,1.693938,-0.023938,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\alignments\rainbow\sub028_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\audios\rainbow\sub028_rainbow_audio.wav,2.190000,2.258750,-0.068750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\alignments\topic1\sub028_topic1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\audios\topic1\sub028_topic1_audio.wav,3.400000,3.439875,-0.039875,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\alignments\vcv1\sub028_vcv1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub028\audios\vcv1\sub028_vcv1_audio.wav,1.450000,3.940688,-2.490687,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\bvt\sub030_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\bvt\sub030_bvt_audio.wav,1.600000,1.603687,-0.003687,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\grandfather1\sub030_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\grandfather1\sub030_grandfather1_audio.wav,0.650000,2.350500,-1.700500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\grandfather2\sub030_grandfather2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\grandfather2\sub030_grandfather2_audio.wav,3.350000,3.353063,-0.003062,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\northwind1\sub030_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\northwind1\sub030_northwind1_audio.wav,2.380000,2.477438,-0.097438,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\northwind2\sub030_northwind2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\northwind2\sub030_northwind2_audio.wav,2.501486,2.538125,-0.036639,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\picture2\sub030_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\picture2\sub030_picture2_audio.wav,3.754645,4.132437,-0.377792,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\rainbow\sub030_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\rainbow\sub030_rainbow_audio.wav,2.720000,2.849438,-0.129437,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\shibboleth\sub030_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\shibboleth\sub030_shibboleth_audio.wav,2.570000,2.749563,-0.179563,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\topic2\sub030_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\topic2\sub030_topic2_audio.wav,3.286317,3.304063,-0.017746,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\alignments\vcv3\sub030_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub030\audios\vcv3\sub030_vcv3_audio.wav,1.650000,3.133500,-1.483500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\bvt\sub034_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\bvt\sub034_bvt_audio.wav,1.150000,1.236375,-0.086375,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\grandfather1\sub034_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\grandfather1\sub034_grandfather1_audio.wav,2.150000,2.176938,-0.026938,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\grandfather2\sub034_grandfather2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\grandfather2\sub034_grandfather2_audio.wav,1.490000,1.522125,-0.032125,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\northwind1\sub034_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\northwind1\sub034_northwind1_audio.wav,1.830000,1.826875,0.003125,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\northwind2\sub034_northwind2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\northwind2\sub034_northwind2_audio.wav,2.200000,2.266812,-0.066812,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\picture2\sub034_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\picture2\sub034_picture2_audio.wav,5.270000,0.000000,5.270000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\rainbow\sub034_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\rainbow\sub034_rainbow_audio.wav,1.830000,1.834688,-0.004687,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\shibboleth\sub034_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\shibboleth\sub034_shibboleth_audio.wav,2.140000,2.684938,-0.544938,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\topic2\sub034_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\topic2\sub034_topic2_audio.wav,5.340000,3.744500,1.595500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\alignments\vcv3\sub034_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub034\audios\vcv3\sub034_vcv3_audio.wav,1.570000,2.941875,-1.371875,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\alignments\bvt\sub043_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\audios\bvt\sub043_bvt_audio.wav,2.440000,2.444750,-0.004750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\alignments\rainbow\sub043_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\audios\rainbow\sub043_rainbow_audio.wav,2.000000,2.005500,-0.005500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\alignments\topic1\sub043_topic1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\audios\topic1\sub043_topic1_audio.wav,2.880000,2.903250,-0.023250,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\alignments\vcv1\sub043_vcv1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub043\audios\vcv1\sub043_vcv1_audio.wav,3.040000,3.131187,-0.091187,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\bvt\sub047_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\bvt\sub047_bvt_audio.wav,1.340000,1.340937,-0.000937,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\grandfather1\sub047_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\grandfather1\sub047_grandfather1_audio.wav,1.570000,1.597000,-0.027000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\grandfather2\sub047_grandfather2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\grandfather2\sub047_grandfather2_audio.wav,1.810000,1.877813,-0.067813,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\northwind1\sub047_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\northwind1\sub047_northwind1_audio.wav,1.550000,1.559187,-0.009187,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\northwind2\sub047_northwind2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\northwind2\sub047_northwind2_audio.wav,1.670000,1.661063,0.008937,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\picture2\sub047_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\picture2\sub047_picture2_audio.wav,2.110000,2.114000,-0.004000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\rainbow\sub047_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\rainbow\sub047_rainbow_audio.wav,1.490000,1.506750,-0.016750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\shibboleth\sub047_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\shibboleth\sub047_shibboleth_audio.wav,1.580000,1.744750,-0.164750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\topic2\sub047_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\topic2\sub047_topic2_audio.wav,1.910205,1.912562,-0.002357,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\alignments\vcv3\sub047_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub047\audios\vcv3\sub047_vcv3_audio.wav,1.320000,1.309250,0.010750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\alignments\bvt\sub061_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\audios\bvt\sub061_bvt_audio.wav,1.370000,1.387000,-0.017000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\alignments\rainbow\sub061_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\audios\rainbow\sub061_rainbow_audio.wav,1.910000,2.067750,-0.157750,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\alignments\topic1\sub061_topic1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\audios\topic1\sub061_topic1_audio.wav,4.550000,4.821562,-0.271562,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\alignments\vcv1\sub061_vcv1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub061\audios\vcv1\sub061_vcv1_audio.wav,1.148111,1.780250,-0.632139,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\bvt\sub064_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\bvt\sub064_bvt_audio.wav,2.330000,2.318563,0.011437,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\grandfather1\sub064_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\grandfather1\sub064_grandfather1_audio.wav,2.100000,2.171187,-0.071187,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\grandfather2\sub064_grandfather2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\grandfather2\sub064_grandfather2_audio.wav,2.010000,2.058312,-0.048313,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\northwind1\sub064_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\northwind1\sub064_northwind1_audio.wav,2.120000,2.119063,0.000938,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\northwind2\sub064_northwind2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\northwind2\sub064_northwind2_audio.wav,2.220000,2.214187,0.005813,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\picture2\sub064_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\picture2\sub064_picture2_audio.wav,2.700000,2.735313,-0.035312,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\rainbow\sub064_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\rainbow\sub064_rainbow_audio.wav,2.940000,2.921000,0.019000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\shibboleth\sub064_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\shibboleth\sub064_shibboleth_audio.wav,1.922831,2.061750,-0.138919,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\topic2\sub064_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\topic2\sub064_topic2_audio.wav,2.980000,3.011437,-0.031438,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\alignments\vcv3\sub064_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub064\audios\vcv3\sub064_vcv3_audio.wav,1.672146,1.786500,-0.114354,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\bvt\sub068_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\bvt\sub068_bvt_audio.wav,1.640000,1.622750,0.017250,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\grandfather1\sub068_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\grandfather1\sub068_grandfather1_audio.wav,1.890000,2.025688,-0.135688,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\grandfather2\sub068_grandfather2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\grandfather2\sub068_grandfather2_audio.wav,1.930000,1.926688,0.003312,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\northwind1\sub068_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\northwind1\sub068_northwind1_audio.wav,,,,error,TypeError: '>' not supported between instances of 'NoneType' and 'int'
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\northwind2\sub068_northwind2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\northwind2\sub068_northwind2_audio.wav,1.880000,2.131937,-0.251937,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\picture2\sub068_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\picture2\sub068_picture2_audio.wav,3.030000,4.407188,-1.377188,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\rainbow\sub068_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\rainbow\sub068_rainbow_audio.wav,2.040000,2.342437,-0.302437,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\shibboleth\sub068_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\shibboleth\sub068_shibboleth_audio.wav,2.020000,2.135000,-0.115000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\topic2\sub068_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\topic2\sub068_topic2_audio.wav,5.427168,3.844375,1.582793,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\alignments\vcv3\sub068_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub068\audios\vcv3\sub068_vcv3_audio.wav,2.084340,4.136938,-2.052597,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\bvt\sub070_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\bvt\sub070_bvt_audio.wav,1.670000,1.675250,-0.005250,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\grandfather1\sub070_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\grandfather1\sub070_grandfather1_audio.wav,1.630000,1.640625,-0.010625,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\northwind1\sub070_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\northwind1\sub070_northwind1_audio.wav,1.950000,1.964250,-0.014250,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\picture2\sub070_picture2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\picture2\sub070_picture2_audio.wav,3.020000,3.291562,-0.271562,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\rainbow\sub070_rainbow_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\rainbow\sub070_rainbow_audio.wav,1.950000,1.956500,-0.006500,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\shibboleth\sub070_shibboleth_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\shibboleth\sub070_shibboleth_audio.wav,1.680000,1.798687,-0.118688,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\topic2\sub070_topic2_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\topic2\sub070_topic2_audio.wav,0.260000,2.979625,-2.719625,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\alignments\vcv3\sub070_vcv3_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub070\audios\vcv3\sub070_vcv3_audio.wav,1.600000,1.612625,-0.012625,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub071\alignments\bvt\sub071_bvt_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub071\audios\bvt\sub071_bvt_audio.wav,2.218524,2.200188,0.018336,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub071\alignments\grandfather1\sub071_grandfather1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub071\audios\grandfather1\sub071_grandfather1_audio.wav,1.700000,1.710000,-0.010000,ok,
F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub071\alignments\northwind1\sub071_northwind1_alignment.textgrid,F:\schoolworks\FAU\ss26\mt\USC-annot-16\sub071\audios\northwind1\sub071_northwind1_audio.wav,1.580000,1.595000,-0.015000,ok,
