sample_key,audio_path,video_path,textgrid_path,audio_duration_hms,video_duration_hms,textgrid_duration_hms,audio_error,video_error,textgrid_error,audio_duration_seconds,video_duration_seconds,textgrid_duration_seconds
sub013_picture2,sub013\audios\picture2\sub013_picture2_audio.wav,sub013\videos\picture2\sub013_picture2_video.mp4,,00:00:33.260,00:00:32.787,,,,,33.259563,32.786984,
sub013_picture2_alignment,,,sub013\alignments\picture2\sub013_picture2_alignment.textgrid,,,00:00:33.260,,,,,,33.25955
sub013_rainbow,sub013\audios\rainbow\sub013_rainbow_audio.wav,sub013\videos\rainbow\sub013_rainbow_video.mp4,,00:00:34.570,00:00:34.133,,,,,34.57025,34.133016,
sub013_rainbow_alignment,,,sub013\alignments\rainbow\sub013_rainbow_alignment.textgrid,,,00:00:34.570,,,,,,34.57025
sub013_shibboleth,sub013\audios\shibboleth\sub013_shibboleth_audio.wav,sub013\videos\shibboleth\sub013_shibboleth_video.mp4,,00:00:27.116,00:00:25.728,,,,,27.115562,25.727982,
sub013_shibboleth_alignment,,,sub013\alignments\shibboleth\sub013_shibboleth_alignment.textgrid,,,00:00:27.116,,,,,,27.11555
sub013_topic1,sub013\audios\topic1\sub013_topic1_audio.wav,sub013\videos\topic1\sub013_topic1_video.mp4,,00:00:32.850,00:00:32.369,,,,,32.85,32.36898,
sub013_topic1_alignment,,,sub013\alignments\topic1\sub013_topic1_alignment.textgrid,,,00:00:32.850,,,,,,32.84995
sub013_topic2,sub013\audios\topic2\sub013_topic2_audio.wav,sub013\videos\topic2\sub013_topic2_video.mp4,,00:00:33.014,00:00:32.467,,,,,33.013813,32.466667,
sub013_topic2_alignment,,,sub013\alignments\topic2\sub013_topic2_alignment.textgrid,,,00:00:33.014,,,,,,33.0138
sub013_vcv1,sub013\audios\vcv1\sub013_vcv1_audio.wav,sub013\videos\vcv1\sub013_vcv1_video.mp4,,00:00:39.567,00:00:39.056,,,,,39.567437,39.056009,
sub013_vcv1_alignment,,,sub013\alignments\vcv1\sub013_vcv1_alignment.textgrid,,,00:00:39.567,,,,,,39.5674
sub013_vcv3,sub013\audios\vcv3\sub013_vcv3_audio.wav,sub013\videos\vcv3\sub013_vcv3_video.mp4,,00:00:36.946,00:00:36.455,,,,,36.946,36.455011,
sub013_vcv3_alignment,,,sub013\alignments\vcv3\sub013_vcv3_alignment.textgrid,,,00:00:36.946,,,,,,36.94595
sub022_bvt,sub022\audios\bvt\sub022_bvt_audio.wav,sub022\videos\bvt\sub022_bvt_video.mp4,,00:00:27.353,00:00:27.353,,,,,27.353188,27.353016,
sub022_bvt_alignment,,,sub022\alignments\bvt\sub022_bvt_alignment.textgrid,,,00:00:27.771,,,,,,27.7709
sub022_grandfather1,sub022\audios\grandfather1\sub022_grandfather1_audio.wav,sub022\videos\grandfather1\sub022_grandfather1_video.mp4,,00:00:46.208,00:00:46.208,,,,,46.20775,46.207982,
sub022_grandfather1_alignment,,,sub022\alignments\grandfather1\sub022_grandfather1_alignment.textgrid,,,00:00:46.612,,,,,,46.6125
sub022_northwind1,sub022\audios\northwind1\sub022_northwind1_audio.wav,sub022\videos\northwind1\sub022_northwind1_video.mp4,,00:00:34.319,00:00:34.319,,,,,34.319187,34.319002,
sub022_northwind1_alignment,,,sub022\alignments\northwind1\sub022_northwind1_alignment.textgrid,,,00:00:34.734,,,,,,34.7341
sub022_picture2,sub022\audios\picture2\sub022_picture2_audio.wav,sub022\videos\picture2\sub022_picture2_video.mp4,,00:00:33.019,00:00:33.019,,,,,33.018813,33.019002,
sub022_picture2_alignment,,,sub022\alignments\picture2\sub022_picture2_alignment.textgrid,,,00:00:33.505,,,,,,33.5053
sub022_rainbow,sub022\audios\rainbow\sub022_rainbow_audio.wav,sub022\videos\rainbow\sub022_rainbow_video.mp4,,00:00:35.434,00:00:35.434,,,,,35.43375,35.434014,
sub022_rainbow_alignment,,,sub022\alignments\rainbow\sub022_rainbow_alignment.textgrid,,,00:00:36.782,,,,,,36.7821
sub022_shibboleth,sub022\audios\shibboleth\sub022_shibboleth_audio.wav,sub022\videos\shibboleth\sub022_shibboleth_video.mp4,,00:00:22.570,00:00:22.570,,,,,22.569875,22.570023,
sub022_shibboleth_alignment,,,sub022\alignments\shibboleth\sub022_shibboleth_alignment.textgrid,,,00:00:22.938,,,,,,22.9376
sub022_topic2,sub022\audios\topic2\sub022_topic2_audio.wav,sub022\videos\topic2\sub022_topic2_video.mp4,,00:00:33.530,00:00:33.530,,,,,33.529688,33.530023,
sub022_topic2_alignment,,,sub022\alignments\topic2\sub022_topic2_alignment.textgrid,,,00:00:33.997,,,,,,33.9968
sub022_vcv3,sub022\audios\vcv3\sub022_vcv3_audio.wav,sub022\videos\vcv3\sub022_vcv3_video.mp4,,00:00:30.418,00:00:30.418,,,,,30.418187,30.418005,
sub022_vcv3_alignment,,,sub022\alignments\vcv3\sub022_vcv3_alignment.textgrid,,,00:00:31.949,,,,,,31.9488
sub023_bvt,sub023\audios\bvt\sub023_bvt_audio.wav,sub023\videos\bvt\sub023_bvt_video.mp4,,00:00:25.650,00:00:25.681,,,,,25.65,25.680998,
sub023_bvt_alignment,,,sub023\alignments\bvt\sub023_bvt_alignment.textgrid,,,00:00:25.650,,,,,,25.65
sub023_rainbow,sub023\audios\rainbow\sub023_rainbow_audio.wav,sub023\videos\rainbow\sub023_rainbow_video.mp4,,00:00:31.900,00:00:31.933,,,,,31.9,31.933008,
sub023_rainbow_alignment,,,sub023\alignments\rainbow\sub023_rainbow_alignment.textgrid,,,00:00:31.900,,,,,,31.9
sub023_topic1,sub023\audios\topic1\sub023_topic1_audio.wav,sub023\videos\topic1\sub023_topic1_video.mp4,,00:00:32.600,00:00:32.667,,,,,32.6,32.666667,
sub023_topic1_alignment,,,sub023\alignments\topic1\sub023_topic1_alignment.textgrid,,,00:00:32.600,,,,,,32.6
sub023_vcv1,sub023\audios\vcv1\sub023_vcv1_audio.wav,sub023\videos\vcv1\sub023_vcv1_video.mp4,,00:00:39.500,00:00:39.533,,,,,39.5,39.533333,
sub023_vcv1_alignment,,,sub023\alignments\vcv1\sub023_vcv1_alignment.textgrid,,,00:00:39.500,,,,,,39.5
sub028_bvt,sub028\audios\bvt\sub028_bvt_audio.wav,sub028\videos\bvt\sub028_bvt_video.mp4,,00:00:29.050,00:00:29.133,,,,,29.05,29.133008,
sub028_bvt_alignment,,,sub028\alignments\bvt\sub028_bvt_alignment.textgrid,,,00:00:29.050,,,,,,29.05
sub028_rainbow,sub028\audios\rainbow\sub028_rainbow_audio.wav,sub028\videos\rainbow\sub028_rainbow_video.mp4,,00:00:47.700,00:00:47.740,,,,,47.7,47.74,
sub028_rainbow_alignment,,,sub028\alignments\rainbow\sub028_rainbow_alignment.textgrid,,,00:00:47.700,,,,,,47.7
sub028_topic1,sub028\audios\topic1\sub028_topic1_audio.wav,sub028\videos\topic1\sub028_topic1_video.mp4,,00:00:32.700,00:00:32.800,,,,,32.7,32.8,
sub028_topic1_alignment,,,sub028\alignments\topic1\sub028_topic1_alignment.textgrid,,,00:00:32.700,,,,,,32.7
sub028_vcv1,sub028\audios\vcv1\sub028_vcv1_audio.wav,sub028\videos\vcv1\sub028_vcv1_video.mp4,,00:00:41.600,00:00:41.667,,,,,41.6,41.666667,
sub028_vcv1_alignment,,,sub028\alignments\vcv1\sub028_vcv1_alignment.textgrid,,,00:00:41.600,,,,,,41.6
sub030_bvt,sub030\audios\bvt\sub030_bvt_audio.wav,sub030\videos\bvt\sub030_bvt_video.mp4,,00:00:32.686,00:00:32.276,,,,,32.686125,32.276009,
sub030_bvt_alignment,,,sub030\alignments\bvt\sub030_bvt_alignment.textgrid,,,00:00:32.686,,,,,,32.6861
sub030_grandfather1,sub030\audios\grandfather1\sub030_grandfather1_audio.wav,sub030\videos\grandfather1\sub030_grandfather1_video.mp4,,00:00:27.771,00:00:27.267,,,,,27.770937,27.266667,
sub030_grandfather1_alignment,,,sub030\alignments\grandfather1\sub030_grandfather1_alignment.textgrid,,,00:00:27.771,,,,,,27.7709
sub030_grandfather2,sub030\audios\grandfather2\sub030_grandfather2_audio.wav,sub030\videos\grandfather2\sub030_grandfather2_video.mp4,,00:00:24.494,00:00:24.102,,,,,24.494125,24.101995,
sub030_grandfather2_alignment,,,sub030\alignments\grandfather2\sub030_grandfather2_alignment.textgrid,,,00:00:24.494,,,,,,24.4941
sub030_northwind1,sub030\audios\northwind1\sub030_northwind1_audio.wav,sub030\videos\northwind1\sub030_northwind1_video.mp4,,00:00:16.958,00:00:16.486,,,,,16.9575,16.485986,
sub030_northwind1_alignment,,,sub030\alignments\northwind1\sub030_northwind1_alignment.textgrid,,,00:00:16.957,,,,,,16.95745
sub030_northwind2,sub030\audios\northwind2\sub030_northwind2_audio.wav,sub030\videos\northwind2\sub030_northwind2_video.mp4,,00:00:23.429,00:00:22.867,,,,,23.429188,22.866667,
sub030_northwind2_alignment,,,sub030\alignments\northwind2\sub030_northwind2_alignment.textgrid,,,00:00:23.429,,,,,,23.42915
sub030_picture2,sub030\audios\picture2\sub030_picture2_audio.wav,sub030\videos\picture2\sub030_picture2_video.mp4,,00:00:33.833,00:00:33.390,,,,,33.833,33.390023,
sub030_picture2_alignment,,,sub030\alignments\picture2\sub030_picture2_alignment.textgrid,,,00:00:33.833,,,,,,33.833
sub030_rainbow,sub030\audios\rainbow\sub030_rainbow_audio.wav,sub030\videos\rainbow\sub030_rainbow_video.mp4,,00:00:34.406,00:00:33.901,,,,,34.406438,33.900998,
sub030_rainbow_alignment,,,sub030\alignments\rainbow\sub030_rainbow_alignment.textgrid,,,00:00:34.406,,,,,,34.4064
sub030_shibboleth,sub030\audios\shibboleth\sub030_shibboleth_audio.wav,sub030\videos\shibboleth\sub030_shibboleth_video.mp4,,00:00:24.904,00:00:24.381,,,,,24.90375,24.380998,
sub030_shibboleth_alignment,,,sub030\alignments\shibboleth\sub030_shibboleth_alignment.textgrid,,,00:00:24.904,,,,,,24.9037
sub030_topic2,sub030\audios\topic2\sub030_topic2_audio.wav,sub030\videos\topic2\sub030_topic2_video.mp4,,00:00:33.505,00:00:33.019,,,,,33.505313,33.019002,
sub030_topic2_alignment,,,sub030\alignments\topic2\sub030_topic2_alignment.textgrid,,,00:00:33.505,,,,,,33.5053
sub030_vcv3,sub030\audios\vcv3\sub030_vcv3_audio.wav,sub030\videos\vcv3\sub030_vcv3_video.mp4,,00:00:30.556,00:00:30.139,,,,,30.55625,30.139002,
sub030_vcv3_alignment,,,sub030\alignments\vcv3\sub030_vcv3_alignment.textgrid,,,00:00:30.556,,,,,,30.5562
sub034_bvt,sub034\audios\bvt\sub034_bvt_audio.wav,sub034\videos\bvt\sub034_bvt_video.mp4,,00:00:22.200,00:00:21.734,,,,,22.200375,21.734014,
sub034_bvt_alignment,,,sub034\alignments\bvt\sub034_bvt_alignment.textgrid,,,00:00:22.200,,,,,,22.20035
sub034_grandfather1,sub034\audios\grandfather1\sub034_grandfather1_audio.wav,sub034\videos\grandfather1\sub034_grandfather1_video.mp4,,00:00:29.409,00:00:28.886,,,,,29.409312,28.885986,
sub034_grandfather1_alignment,,,sub034\alignments\grandfather1\sub034_grandfather1_alignment.textgrid,,,00:00:29.409,,,,,,29.4093
sub034_grandfather2,sub034\audios\grandfather2\sub034_grandfather2_audio.wav,sub034\videos\grandfather2\sub034_grandfather2_video.mp4,,00:00:26.706,00:00:26.146,,,,,26.706,26.145986,
sub034_grandfather2_alignment,,,sub034\alignments\grandfather2\sub034_grandfather2_alignment.textgrid,,,00:00:26.706,,,,,,26.70595
sub034_northwind1,sub034\audios\northwind1\sub034_northwind1_audio.wav,sub034\videos\northwind1\sub034_northwind1_video.mp4,,00:00:27.607,00:00:27.167,,,,,27.607063,27.166984,
sub034_northwind1_alignment,,,sub034\alignments\northwind1\sub034_northwind1_alignment.textgrid,,,00:00:27.607,,,,,,27.60705
sub034_northwind2,sub034\audios\northwind2\sub034_northwind2_audio.wav,sub034\videos\northwind2\sub034_northwind2_video.mp4,,00:00:25.887,00:00:25.310,,,,,25.88675,25.310023,
sub034_northwind2_alignment,,,sub034\alignments\northwind2\sub034_northwind2_alignment.textgrid,,,00:00:25.887,,,,,,25.88675
sub034_picture2,sub034\audios\picture2\sub034_picture2_audio.wav,sub034\videos\picture2\sub034_picture2_video.mp4,,00:00:32.686,00:00:32.183,,,,,32.686125,32.182993,
sub034_picture2_alignment,,,sub034\alignments\picture2\sub034_picture2_alignment.textgrid,,,00:00:32.686,,,,,,32.6861
sub034_rainbow,sub034\audios\rainbow\sub034_rainbow_audio.wav,sub034\videos\rainbow\sub034_rainbow_video.mp4,,00:00:39.322,00:00:38.733,,,,,39.321625,38.733008,
sub034_rainbow_alignment,,,sub034\alignments\rainbow\sub034_rainbow_alignment.textgrid,,,00:00:39.322,,,,,,39.3216
sub034_shibboleth,sub034\audios\shibboleth\sub034_shibboleth_audio.wav,sub034\videos\shibboleth\sub034_shibboleth_video.mp4,,00:00:26.132,00:00:25.635,,,,,26.1325,25.635011,
sub034_shibboleth_alignment,,,sub034\alignments\shibboleth\sub034_shibboleth_alignment.textgrid,,,00:00:26.132,,,,,,26.1325
sub034_topic2,sub034\audios\topic2\sub034_topic2_audio.wav,sub034\videos\topic2\sub034_topic2_video.mp4,,00:00:33.096,00:00:32.601,,,,,33.09575,32.600998,
sub034_topic2_alignment,,,sub034\alignments\topic2\sub034_topic2_alignment.textgrid,,,00:00:33.096,,,,,,33.0957
sub034_vcv3,sub034\audios\vcv3\sub034_vcv3_audio.wav,sub034\videos\vcv3\sub034_vcv3_video.mp4,,00:00:26.788,00:00:25.542,,,,,26.787875,25.541995,
sub034_vcv3_alignment,,,sub034\alignments\vcv3\sub034_vcv3_alignment.textgrid,,,00:00:26.788,,,,,,26.78785
sub043_bvt,sub043\audios\bvt\sub043_bvt_audio.wav,sub043\videos\bvt\sub043_bvt_video.mp4,,00:00:33.915,00:00:33.390,,,,,33.914938,33.390023,
sub043_bvt_alignment,,,sub043\alignments\bvt\sub043_bvt_alignment.textgrid,,,00:00:33.915,,,,,,33.9149
sub043_rainbow,sub043\audios\rainbow\sub043_rainbow_audio.wav,sub043\videos\rainbow\sub043_rainbow_video.mp4,,00:00:30.310,00:00:29.814,,,,,30.310437,29.814014,
sub043_rainbow_alignment,,,sub043\alignments\rainbow\sub043_rainbow_alignment.textgrid,,,00:00:30.310,,,,,,30.3104
sub043_topic1,sub043\audios\topic1\sub043_topic1_audio.wav,sub043\videos\topic1\sub043_topic1_video.mp4,,00:00:33.915,00:00:33.400,,,,,33.914938,33.4,
sub043_topic1_alignment,,,sub043\alignments\topic1\sub043_topic1_alignment.textgrid,,,00:00:33.915,,,,,,33.9149
sub043_vcv1,sub043\audios\vcv1\sub043_vcv1_audio.wav,sub043\videos\vcv1\sub043_vcv1_video.mp4,,00:00:34.898,00:00:34.412,,,,,34.898,34.412018,
sub043_vcv1_alignment,,,sub043\alignments\vcv1\sub043_vcv1_alignment.textgrid,,,00:00:34.898,,,,,,34.89795
sub047_bvt,sub047\audios\bvt\sub047_bvt_audio.wav,sub047\videos\bvt\sub047_bvt_video.mp4,,00:00:19.000,00:00:19.067,,,,,19.0,19.066667,
sub047_bvt_alignment,,,sub047\alignments\bvt\sub047_bvt_alignment.textgrid,,,00:00:19.000,,,,,,19.0
sub047_grandfather1,sub047\audios\grandfather1\sub047_grandfather1_audio.wav,sub047\videos\grandfather1\sub047_grandfather1_video.mp4,,00:00:27.250,00:00:27.333,,,,,27.25,27.333008,
sub047_grandfather1_alignment,,,sub047\alignments\grandfather1\sub047_grandfather1_alignment.textgrid,,,00:00:27.250,,,,,,27.25
sub047_grandfather2,sub047\audios\grandfather2\sub047_grandfather2_audio.wav,sub047\videos\grandfather2\sub047_grandfather2_video.mp4,,00:00:23.150,00:00:23.200,,,,,23.15,23.2,
sub047_grandfather2_alignment,,,sub047\alignments\grandfather2\sub047_grandfather2_alignment.textgrid,,,00:00:23.150,,,,,,23.15
sub047_northwind1,sub047\audios\northwind1\sub047_northwind1_audio.wav,sub047\videos\northwind1\sub047_northwind1_video.mp4,,00:00:17.300,00:00:17.333,,,,,17.3,17.333333,
sub047_northwind1_alignment,,,sub047\alignments\northwind1\sub047_northwind1_alignment.textgrid,,,00:00:17.300,,,,,,17.3
sub047_northwind2,sub047\audios\northwind2\sub047_northwind2_audio.wav,sub047\videos\northwind2\sub047_northwind2_video.mp4,,00:00:21.600,00:00:21.641,,,,,21.6,21.640998,
sub047_northwind2_alignment,,,sub047\alignments\northwind2\sub047_northwind2_alignment.textgrid,,,00:00:21.600,,,,,,21.6
sub047_picture2,sub047\audios\picture2\sub047_picture2_audio.wav,sub047\videos\picture2\sub047_picture2_video.mp4,,00:00:32.050,00:00:32.090,,,,,32.05,32.090023,
sub047_picture2_alignment,,,sub047\alignments\picture2\sub047_picture2_alignment.textgrid,,,00:00:32.050,,,,,,32.05
sub047_rainbow,sub047\audios\rainbow\sub047_rainbow_audio.wav,sub047\videos\rainbow\sub047_rainbow_video.mp4,,00:00:31.800,00:00:31.867,,,,,31.8,31.866667,
sub047_rainbow_alignment,,,sub047\alignments\rainbow\sub047_rainbow_alignment.textgrid,,,00:00:31.800,,,,,,31.8
sub047_shibboleth,sub047\audios\shibboleth\sub047_shibboleth_audio.wav,sub047\videos\shibboleth\sub047_shibboleth_video.mp4,,00:00:24.000,00:00:24.067,,,,,24.0,24.066667,
sub047_shibboleth_alignment,,,sub047\alignments\shibboleth\sub047_shibboleth_alignment.textgrid,,,00:00:24.000,,,,,,24.0
sub047_topic2,sub047\audios\topic2\sub047_topic2_audio.wav,sub047\videos\topic2\sub047_topic2_video.mp4,,00:00:31.950,00:00:32.067,,,,,31.95,32.066667,
sub047_topic2_alignment,,,sub047\alignments\topic2\sub047_topic2_alignment.textgrid,,,00:00:31.950,,,,,,31.95
sub047_vcv3,sub047\audios\vcv3\sub047_vcv3_audio.wav,sub047\videos\vcv3\sub047_vcv3_video.mp4,,00:00:23.450,00:00:23.467,,,,,23.45,23.466667,
sub047_vcv3_alignment,,,sub047\alignments\vcv3\sub047_vcv3_alignment.textgrid,,,00:00:23.450,,,,,,23.45
sub061_bvt,sub061\audios\bvt\sub061_bvt_audio.wav,sub061\videos\bvt\sub061_bvt_video.mp4,,00:00:26.650,00:00:26.733,,,,,26.65,26.733008,
sub061_bvt_alignment,,,sub061\alignments\bvt\sub061_bvt_alignment.textgrid,,,00:00:26.650,,,,,,26.65
sub061_rainbow,sub061\audios\rainbow\sub061_rainbow_audio.wav,sub061\videos\rainbow\sub061_rainbow_video.mp4,,00:00:36.150,00:00:36.177,,,,,36.15,36.177007,
sub061_rainbow_alignment,,,sub061\alignments\rainbow\sub061_rainbow_alignment.textgrid,,,00:00:36.150,,,,,,36.15
sub061_topic1,sub061\audios\topic1\sub061_topic1_audio.wav,sub061\videos\topic1\sub061_topic1_video.mp4,,00:00:33.000,00:00:33.067,,,,,33.0,33.066667,
sub061_topic1_alignment,,,sub061\alignments\topic1\sub061_topic1_alignment.textgrid,,,00:00:33.000,,,,,,33.0
sub061_vcv1,sub061\audios\vcv1\sub061_vcv1_audio.wav,sub061\videos\vcv1\sub061_vcv1_video.mp4,,00:00:31.000,00:00:31.067,,,,,31.0,31.066667,
sub061_vcv1_alignment,,,sub061\alignments\vcv1\sub061_vcv1_alignment.textgrid,,,00:00:34.250,,,,,,34.25
sub064_bvt,sub064\audios\bvt\sub064_bvt_audio.wav,sub064\videos\bvt\sub064_bvt_video.mp4,,00:00:35.500,00:00:35.533,,,,,35.5,35.533008,
sub064_bvt_alignment,,,sub064\alignments\bvt\sub064_bvt_alignment.textgrid,,,00:00:35.500,,,,,,35.5
sub064_grandfather1,sub064\audios\grandfather1\sub064_grandfather1_audio.wav,sub064\videos\grandfather1\sub064_grandfather1_video.mp4,,00:00:39.650,00:00:39.667,,,,,39.65,39.666667,
sub064_grandfather1_alignment,,,sub064\alignments\grandfather1\sub064_grandfather1_alignment.textgrid,,,00:00:39.650,,,,,,39.65
sub064_grandfather2,sub064\audios\grandfather2\sub064_grandfather2_audio.wav,sub064\videos\grandfather2\sub064_grandfather2_video.mp4,,00:00:31.750,00:00:31.765,,,,,31.75,31.764989,
sub064_grandfather2_alignment,,,sub064\alignments\grandfather2\sub064_grandfather2_alignment.textgrid,,,00:00:31.750,,,,,,31.75
sub064_northwind1,sub064\audios\northwind1\sub064_northwind1_audio.wav,sub064\videos\northwind1\sub064_northwind1_video.mp4,,00:00:21.550,00:00:21.594,,,,,21.55,21.594014,
sub064_northwind1_alignment,,,sub064\alignments\northwind1\sub064_northwind1_alignment.textgrid,,,00:00:21.550,,,,,,21.55
sub064_northwind2,sub064\audios\northwind2\sub064_northwind2_audio.wav,sub064\videos\northwind2\sub064_northwind2_video.mp4,,00:00:29.650,00:00:29.733,,,,,29.65,29.733333,
sub064_northwind2_alignment,,,sub064\alignments\northwind2\sub064_northwind2_alignment.textgrid,,,00:00:29.650,,,,,,29.65
sub064_picture2,sub064\audios\picture2\sub064_picture2_audio.wav,sub064\videos\picture2\sub064_picture2_video.mp4,,00:00:32.300,00:00:32.400,,,,,32.3,32.4,
sub064_picture2_alignment,,,sub064\alignments\picture2\sub064_picture2_alignment.textgrid,,,00:00:32.300,,,,,,32.3
sub064_rainbow,sub064\audios\rainbow\sub064_rainbow_audio.wav,sub064\videos\rainbow\sub064_rainbow_video.mp4,,00:00:39.100,00:00:39.200,,,,,39.1,39.2,
sub064_rainbow_alignment,,,sub064\alignments\rainbow\sub064_rainbow_alignment.textgrid,,,00:00:39.100,,,,,,39.1
sub064_shibboleth,sub064\audios\shibboleth\sub064_shibboleth_audio.wav,sub064\videos\shibboleth\sub064_shibboleth_video.mp4,,00:00:28.700,00:00:28.746,,,,,28.7,28.745986,
sub064_shibboleth_alignment,,,sub064\alignments\shibboleth\sub064_shibboleth_alignment.textgrid,,,00:00:28.700,,,,,,28.7
sub064_topic2,sub064\audios\topic2\sub064_topic2_audio.wav,sub064\videos\topic2\sub064_topic2_video.mp4,,00:00:32.700,00:00:32.740,,,,,32.7,32.74,
sub064_topic2_alignment,,,sub064\alignments\topic2\sub064_topic2_alignment.textgrid,,,00:00:32.700,,,,,,32.7
sub064_vcv3,sub064\audios\vcv3\sub064_vcv3_audio.wav,sub064\videos\vcv3\sub064_vcv3_video.mp4,,00:00:37.850,00:00:37.895,,,,,37.85,37.895011,
sub064_vcv3_alignment,,,sub064\alignments\vcv3\sub064_vcv3_alignment.textgrid,,,00:00:36.700,,,,,,36.7
sub068_bvt,sub068\audios\bvt\sub068_bvt_audio.wav,sub068\videos\bvt\sub068_bvt_video.mp4,,00:00:36.000,00:00:36.067,,,,,36.0,36.066667,
sub068_bvt_alignment,,,sub068\alignments\bvt\sub068_bvt_alignment.textgrid,,,00:00:36.000,,,,,,36.0
sub068_grandfather1,sub068\audios\grandfather1\sub068_grandfather1_audio.wav,sub068\videos\grandfather1\sub068_grandfather1_video.mp4,,00:00:32.200,00:00:32.267,,,,,32.2,32.266667,
sub068_grandfather1_alignment,,,sub068\alignments\grandfather1\sub068_grandfather1_alignment.textgrid,,,00:00:32.200,,,,,,32.2
sub068_grandfather2,sub068\audios\grandfather2\sub068_grandfather2_audio.wav,sub068\videos\grandfather2\sub068_grandfather2_video.mp4,,00:00:26.900,00:00:27.000,,,,,26.9,27.0,
sub068_grandfather2_alignment,,,sub068\alignments\grandfather2\sub068_grandfather2_alignment.textgrid,,,00:00:26.900,,,,,,26.9
sub068_northwind1,sub068\audios\northwind1\sub068_northwind1_audio.wav,sub068\videos\northwind1\sub068_northwind1_video.mp4,,00:00:20.300,00:00:20.341,,,,,20.3,20.340998,
